,name,duration_ms,explicit,popularity,artists,album_name,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Long Road,241760,0,0.46,Funki Porcini,Hed Phone Sex,0.69,5,-12.529,1.0,0.0975,0.302,0.536,0.281,0.635,142.221,4.0,13
1,"Daniâl My Son, Where Did You Vanish?",444000,0,0.0,Siavash Amini,A Trail of Laughters,0.069,1,-24.801,0.0,0.0805,0.283,0.934,0.36,0.0336,75.596,4.0,12
2,Ondskapens Galakse,333506,0,0.03,Kvelertak,Nattesferd,0.363,2,-7.445,1.0,0.0397,8.93e-05,0.8,0.262,0.489,116.628,4.0,1
3,Can't Look Away,269800,0,0.23,The Wood Brothers,One Drop of Truth,0.523,5,-5.607,1.0,0.0765,0.0664,0.00127,0.117,0.385,140.88,4.0,2
4,Thunderground,307651,0,0.25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,7,-11.34,1.0,0.0539,0.000576,0.0969,0.299,0.637,143.956,4.0,8
5,Sick Bubblegum,224266,1,0.32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,5,-3.047,1.0,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0,11
6,The Diamond Four,225160,0,0.27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,2,-2.488,1.0,0.0585,0.306,1.63e-05,0.299,0.85,109.992,4.0,14
7,Quiero tener tu presencia,220626,0,0.64,Seguridad Social,Furia Latina,0.741,4,-5.597,1.0,0.0797,0.0211,0.0,0.0981,0.574,146.075,4.0,17
8,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116815,0,0.45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,6,-25.16,1.0,0.0501,0.704,0.913,0.543,0.0342,84.886,4.0,16
9,Into The Pentagram,405800,0,0.21,Samael,Worship Him,0.311,4,-7.047,1.0,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,1
10,Gammy Elbow - VIP Mix,191296,0,0.19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,7,-2.567,1.0,0.191,0.0166,0.859,0.0907,0.613,129.999,4.0,13
11,Nobody Supposed to Be Here,99526,0,0.21,Kyle Edwards;DJ Smallz 732,Warning,0.885,6,-8.859,0.0,0.173,0.0878,0.963,0.0453,0.406,140.079,4.0,19
12,Beautiful Girl,218329,0,0.22,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,7,-6.17,1.0,0.105,0.116,4.02e-06,0.108,0.829,110.01,4.0,13
13,知足,256692,0,0.51,Mayday,知足 just my pride 最真傑作選,0.406,4,-9.007,1.0,0.0297,0.88,0.0,0.107,0.395,159.914,4.0,15
14,Do You Want a Man - Heaven & Hell Remix,145773,0,0.22,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.603,5,-3.555,1.0,0.0931,0.198,0.00035,0.133,0.816,122.978,4.0,0
15,Escalate,220666,0,0.25,X-RX,Activate the Machinez,0.529,9,-4.075,0.0,0.0422,0.000821,0.0743,0.306,0.589,135.989,4.0,11
17,Real Bad Man - Radio Edit,194616,0,0.01,Beenie Man;Blakk Man,Imac Riddim,0.717,8,-4.198,0.0,0.291,0.0298,2.33e-06,0.133,0.792,133.673,5.0,13
18,Three Black Cats,124333,0,0.14,CoComelon,Halloween Party,0.883,0,-11.0,1.0,0.0404,0.486,1.76e-05,0.0979,0.884,135.045,3.0,6
19,Dust till Dawn,134000,0,0.45,Dusty Decks,Solid Centre,0.747,10,-6.985,0.0,0.119,0.0264,0.888,0.102,0.71,89.96,4.0,18
20,Beqaaboo,187266,0,0.53,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),0.679,9,-6.279,1.0,0.051,0.0221,0.00609,0.351,0.511,123.985,1.0,10
21,Brokedown Palace 9/25: The Caverns - Live,344146,0,0.2,Greensky Bluegrass,Courage for the Road: Fall 2019 (Live),0.454,5,-15.906,0.0,0.0371,0.793,0.00148,0.922,0.249,123.612,4.0,2
22,→,282893,0,0.18,SILENT SIREN,Silent Siren Selection,0.522,9,-5.427,1.0,0.0436,0.00608,0.0,0.265,0.616,176.127,4.0,14
23,Ukon Laulu,252556,0,0.27,Lepoka,Bibere Vivere,0.373,7,-4.14,1.0,0.09,0.000365,0.000162,0.0878,0.479,180.012,4.0,17
24,Monday Morning Before Work,227320,0,0.13,Kelpe,Kyverdale Road,0.757,8,-23.574,1.0,0.047,0.857,0.952,0.106,0.476,102.987,4.0,9
25,えっと干支がーる,204000,0,0.28,夜光性アミューズ,えっと干支がーる,0.684,10,-4.965,1.0,0.0494,0.0174,0.0,0.323,0.808,100.021,4.0,14
26,Soim In Vazduh,417025,0,0.2,Bucovina,Sub Stele,0.497,0,-5.032,1.0,0.0821,0.000247,0.349,0.252,0.232,154.991,4.0,1
27,Doug's Tune,136266,0,0.28,The Dillards,Back Porch Bluegrass,0.397,3,-9.578,1.0,0.0503,0.275,0.969,0.0951,0.977,135.491,4.0,2
28,愛上你算我賤,250941,0,0.55,NICKTHEREAL,REAL LIFE,0.478,6,-4.464,0.0,0.0414,0.00432,0.0,0.154,0.353,163.994,4.0,15
29,never had,140487,0,0.12,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,0.405,2,-14.809,1.0,0.0419,0.863,0.72,0.134,0.748,89.271,4.0,19
30,I Love You - Love Mix,217916,0,0.01,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.682,0,-4.89,1.0,0.0477,0.0158,0.218,0.0439,0.512,144.003,4.0,8
31,H.O.P.E.,569782,0,0.33,Hozho,"Singles Collection, Vol. 1",0.712,4,-11.715,0.0,0.0516,0.0664,0.745,0.0998,0.0839,127.026,4.0,19
32,Pal - Lofi Flip,263200,0,0.57,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.616,7,-7.662,0.0,0.0417,0.192,0.046,0.176,0.23,119.944,4.0,10
33,Meu Vício É Você,144906,0,0.0,Zezo,Zezo (O Príncipe dos Teclados),0.771,1,-2.34,0.0,0.0265,0.533,0.0,0.105,0.713,111.064,4.0,7
34,Get Get Down - Original Mix,551999,0,0.08,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.906,5,-8.041,0.0,0.0839,0.000146,0.845,0.116,0.51,126.953,4.0,5
35,Battle Cry,175200,1,0.0,Kraff Gad,Battle Cry,0.867,7,-9.212,1.0,0.115,0.231,0.0,0.0872,0.204,100.104,4.0,13
36,Wir Ziehen Heut Abend Auf's Dach,210306,0,0.26,Jürgen Drews,Musik Box Teil 1,0.631,7,-5.591,0.0,0.0761,0.627,3.66e-06,0.493,0.799,124.061,4.0,8
37,Despot,361800,0,0.18,Windir,Likferd,0.318,2,-5.794,0.0,0.0531,1.21e-06,0.935,0.224,0.192,90.051,4.0,1
38,Vou Te Procurar,213916,0,0.0,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.78,0,-7.75,1.0,0.0282,0.0877,1.58e-05,0.573,0.83,128.901,4.0,7
39,Isso Aquí Tá Bom Demais,154240,0,0.53,Dominguinhos,Nas Costas Do Brasil,0.728,2,-7.717,1.0,0.043,0.256,0.00262,0.314,0.809,139.992,4.0,7
40,The Light Tears Apart,256687,0,0.0,Shivered,Journey to Fade,0.443,4,-5.086,0.0,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,4.0,12
41,i loved you first,227067,0,0.5,joan,i loved you first,0.556,0,-9.603,1.0,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,4.0,16
42,Filho de Davi,353986,0,0.49,Tony Allysson,Poderoso Deus,0.578,2,-5.335,1.0,0.0278,0.661,0.0,0.138,0.343,137.98,4.0,3
43,"Tere Siva Jag Mein (From ""Tadap"")",205022,0,0.44,Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",0.756,5,-5.728,1.0,0.0682,0.0894,0.00044,0.129,0.709,122.04,4.0,10
44,Homophobia,273819,1,0.0,Tension Prophecy,Death Metal From Iran,0.238,1,-5.98,1.0,0.151,0.0106,0.73,0.254,0.156,92.322,4.0,12
45,Ajab Adaayein,194245,0,0.46,Swattrex,Ajab Adaayein,0.667,4,-17.939,1.0,0.0316,0.867,0.000222,0.108,0.307,90.77,4.0,10
46,The Remedy,367191,1,0.12,Puscifer,Money Shot,0.466,11,-8.148,0.0,0.0311,0.0304,0.0405,0.171,0.659,180.021,5.0,11
47,Long Hot Summer Days,288760,0,0.32,John Hartford,Mark Twang,0.591,9,-17.299,1.0,0.0811,0.926,0.00106,0.294,0.522,70.959,4.0,2
48,Acalma Minha Tempestade,384850,0,0.56,Frei Gilson,Eu Vou Crer em Ti,0.538,10,-6.877,1.0,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,4.0,3
49,Cloudy Daze - Ham Mix,323928,0,0.23,Bang!,Cloudy Daze,0.593,10,-14.42,0.0,0.043,0.00315,0.124,0.0639,0.328,169.857,4.0,8
50,La Lola,197320,0,0.67,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.725,9,-4.393,0.0,0.102,0.0646,0.00883,0.121,0.867,151.985,4.0,17
51,Des fissures apparaissent,82746,0,0.25,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.198,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,6
52,The Potters Hand,256093,0,0.43,Hillsong Worship,Ultimate Worship Vol 1,0.301,7,-6.606,1.0,0.0259,0.34,2.46e-06,0.205,0.193,74.59,4.0,12
53,Goodbye (feat. Xillions),155492,0,0.53,le Shuuk;Xillions,Goodbye (feat. Xillions),0.689,1,-4.501,0.0,0.122,0.0359,0.000547,0.0743,0.514,142.062,4.0,19
54,Summer Wages,269493,0,0.21,J.D. Crowe & The New South,J.D. Crowe & the New South,0.585,11,-14.493,1.0,0.0313,0.696,0.000177,0.177,0.509,128.61,4.0,2
55,E.C.T. - Ao Vivo,210599,0,0.44,Cássia Eller,Acústico (Ao Vivo),0.666,7,-8.386,1.0,0.12,0.67,2.99e-06,0.149,0.633,130.093,4.0,3
56,American Car,279293,0,0.17,Keller Williams with The Travelin' McCourys,Pick,0.593,2,-6.916,1.0,0.0269,0.577,0.00228,0.203,0.665,96.017,4.0,2
57,Blow the Man Down,117906,0,0.42,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,0.725,2,-9.03,1.0,0.027,0.321,0.0,0.101,0.975,97.624,1.0,6
58,Beaks of Eagles,271974,0,0.11,Kelpe,Fourth: The Golden Eagle,0.615,10,-9.227,1.0,0.0425,0.0907,0.729,0.183,0.644,95.08,4.0,9
59,Down 4 U - Extended Version; 2017 Remaster,507832,0,0.07,Romanthony,Glasgow Underground 1997-2017,0.885,5,-6.898,0.0,0.0599,0.000285,0.0934,0.0555,0.708,128.389,4.0,5
60,For Those Tears I Died,181760,0,0.37,The Isaacs,The Living Years,0.422,11,-13.659,1.0,0.0315,0.901,0.0,0.0546,0.231,77.202,4.0,2
61,Acending,174748,0,0.58,So Jao,Acending,0.205,5,-30.85,1.0,0.0462,0.97,0.979,0.143,0.0592,87.113,3.0,16
62,Filmes e Histórias,229053,0,0.46,Pablo,Um Novo Passo,0.649,1,-5.726,1.0,0.0314,0.316,0.0,0.397,0.635,131.91,4.0,7
63,Dignity,314183,0,0.02,Kahtmayan,Resurrection 1,0.602,6,-4.389,1.0,0.043,0.000487,0.000916,0.363,0.185,119.961,4.0,12
64,Dance Wit U,198930,0,0.21,CIRRRCLE,BESTY,0.763,10,-5.971,0.0,0.285,0.0653,0.0,0.0282,0.8,105.963,4.0,13
65,Falling Time,427973,0,0.06,Alphaxone,Dystopian Gate,0.106,1,-23.622,1.0,0.0391,0.843,0.876,0.141,0.0388,82.33,3.0,12
66,Stupid MF,144986,0,0.53,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.704,0,-5.05,0.0,0.128,0.00698,0.0151,0.167,0.726,151.972,4.0,11
67,與海無關 (《比悲傷更悲傷的故事》影集版插曲),245231,0,0.52,告五人,運氣來得若有似無,0.654,2,-12.619,1.0,0.0298,0.906,2.14e-05,0.091,0.373,78.155,4.0,15
68,Het barsten begint,82746,0,0.18,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,1,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,6
