,name,duration_ms,explicit,popularity,artists,album_name,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0,Long Road,-0.0201537501929409,0,0.46,Funki Porcini,Hed Phone Sex,0.69,5,-0.611468438535033,1.0,0.0975,0.302,0.536,0.281,0.635,0.6005195937853994,4.0,13
1,"Daniâl My Son, Where Did You Vanish?",1.95692625679234,0,0.0,Siavash Amini,A Trail of Laughters,0.069,1,-2.6643678984713457,0.0,0.0805,0.283,0.934,0.36,0.0336,-1.582457310093755,4.0,12
2,Ondskapens Galakse,0.8767468744157989,0,0.03,Kvelertak,Nattesferd,0.363,2,0.2389993625011644,1.0,0.0397,8.93e-05,0.8,0.262,0.489,-0.23803842349008583,4.0,1
3,Can't Look Away,0.2539627618514977,0,0.23,The Wood Brothers,One Drop of Truth,0.523,5,0.5464658885248723,1.0,0.0765,0.0664,0.00127,0.117,0.385,0.5565815520878089,4.0,2
4,Thunderground,0.6239907253819559,0,0.25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,7,-0.4125687108733416,1.0,0.0539,0.000576,0.0969,0.299,0.637,0.6573670973986122,4.0,8
5,Sick Bubblegum,-0.1911735170155304,1,0.32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,5,0.9747108866862936,1.0,0.0967,0.00152,2.39e-05,0.384,0.421,-0.19193788309597007,4.0,11
6,The Diamond Four,-0.1824338536143989,0,0.27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,2,1.0682221968316978,1.0,0.0585,0.306,1.63e-05,0.299,0.85,-0.4554678378862143,4.0,14
7,Quiero tener tu presencia,-0.2267578288501152,0,0.64,Seguridad Social,Furia Latina,0.741,4,0.5481387205489403,1.0,0.0797,0.0211,0.0,0.0981,0.574,0.726796411609793,4.0,17
8,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),-1.2416048057347522,0,0.45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,6,-2.724422568135389,1.0,0.0501,0.704,0.913,0.543,0.0342,-1.2780692359918813,4.0,16
9,Into The Pentagram,1.583486500726093,0,0.21,Samael,Worship Him,0.311,4,0.3055780770590729,1.0,0.0346,0.000116,0.222,0.225,0.119,0.5711948008552401,4.0,1
10,Gammy Elbow - VIP Mix,-0.5134852645941732,0,0.19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,7,1.05500682384156,1.0,0.191,0.0166,0.859,0.0907,0.613,0.20006415334695973,4.0,13
11,Nobody Supposed to Be Here,-1.4106205110391852,0,0.21,Kyle Edwards;DJ Smallz 732,Warning,0.885,6,0.0024609142979419,0.0,0.173,0.0878,0.963,0.0453,0.406,0.5303366815436112,4.0,19
12,Beautiful Girl,-0.2492130937633133,0,0.22,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,7,0.452285445569841,1.0,0.105,0.116,4.02e-06,0.108,0.829,-0.45487806551443455,4.0,13
13,知足,0.1258201356076138,0,0.51,Mayday,知足 just my pride 最真傑作選,0.406,4,-0.0222969996582651,1.0,0.0297,0.88,0.0,0.107,0.395,1.1802330701131118,4.0,15
14,Do You Want a Man - Heaven & Hell Remix,-0.95851400845291,0,0.22,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.603,5,0.8897310198636366,1.0,0.0931,0.198,0.00035,0.133,0.816,-0.029979836778902084,4.0,0
